Name,Type,Adr [Hex],Size [B],Region
main,FUNC,0x0800B6B9,188.0,FLASH 1 (cached)
xNetworkInterfaceOutput,FUNC,0x08008F99,188.0,FLASH 1 (cached)
xTaskPriorityDisinherit,FUNC,0x080038B5,180.0,FLASH 1 (cached)
vTaskPriorityDisinheritAf,FUNC,0x08003969,180.0,FLASH 1 (cached)
__ssputs_r,FUNC,0x0800BAD1,178.0,FLASH 1 (cached)
_malloc_r,FUNC,0x0800C131,172.0,FLASH 1 (cached)
xQueueGiveFromISR,FUNC,0x08002709,172.0,FLASH 1 (cached)
prvTCPNextTimeout,FUNC,0x08006E11,168.0,FLASH 1 (cached)
vSocketClose,FUNC,0x08005CDD,168.0,FLASH 1 (cached)
pxGetNetworkBufferWithDes,FUNC,0x08009259,168.0,FLASH 1 (cached)
_ZN11GPIO_Pins__4initEv,FUNC,0x0800A5A5,164.0,FLASH 1 (cached)
xProcessReceivedUDPPacket,FUNC,0x08008C89,162.0,FLASH 1 (cached)
prvCreatePartDHCPMessage.,FUNC,0x080049F9,160.0,FLASH 1 (cached)
XMC_CAN_NODE_NominalBitTi,FUNC,0x08000DF5,160.0,FLASH 1 (cached)
xQueueReceiveFromISR,FUNC,0x08002AB5,160.0,FLASH 1 (cached)
vTaskDelayUntil,FUNC,0x080033AD,156.0,FLASH 1 (cached)
prvUnlockQueue,FUNC,0x080022E5,152.0,FLASH 1 (cached)
FreeRTOS_inet_addr,FUNC,0x08006025,152.0,FLASH 1 (cached)
xTaskCheckForTimeOut,FUNC,0x0800374D,152.0,FLASH 1 (cached)
xTaskPriorityInherit,FUNC,0x0800381D,152.0,FLASH 1 (cached)
XMC_ETH_MAC_SetManagmentC,FUNC,0x08001531,148.0,FLASH 1 (cached)
xEventGroupSetBits,FUNC,0x080020CD,148.0,FLASH 1 (cached)
prvAddCurrentTaskToDelaye,FUNC,0x08002CC5,144.0,FLASH 1 (cached)
initialize_ethernet_mac,FUNC,0x08009055,144.0,FLASH 1 (cached)
eARPGetCacheEntry,FUNC,0x0800461D,144.0,FLASH 1 (cached)
SPI_Master_transmit,FUNC,0x0800A0E5,144.0,FLASH 1 (cached)
XMC_CAN_MO_Config,FUNC,0x08000F29,144.0,FLASH 1 (cached)
xQueueGenericReset,FUNC,0x0800237D,144.0,FLASH 1 (cached)
XMC_ETH_PHY_Init,FUNC,0x08001779,144.0,FLASH 1 (cached)
FreeRTOS_listen,FUNC,0x08006651,142.0,FLASH 1 (cached)
prvSwitchTimerLists,FUNC,0x08003BA1,140.0,FLASH 1 (cached)
vTaskRemoveFromUnorderedE,FUNC,0x08003671,140.0,FLASH 1 (cached)
XMC_GPIO_Init,FUNC,0x08000CD5,140.0,FLASH 1 (cached)
xTCPTimerCheck,FUNC,0x08006729,140.0,FLASH 1 (cached)
xTaskRemoveFromEventList,FUNC,0x080035E9,136.0,FLASH 1 (cached)
_free_r,FUNC,0x0800C0A9,136.0,FLASH 1 (cached)
vTaskSwitchContext,FUNC,0x08003495,136.0,FLASH 1 (cached)
uxStreamBufferGet,FUNC,0x08006D01,134.0,FLASH 1 (cached)
xTCPWindowNew,FUNC,0x0800853D,132.0,FLASH 1 (cached)
XMC_USIC_CH_SetBaudrate,FUNC,0x08001AE1,132.0,FLASH 1 (cached)
SystemCoreClockUpdate,FUNC,0x08000959,132.0,FLASH 1 (cached)
ETH_0_rx_desc,OBJECT,0x30003020,128.0,DSRAM 2 (comm)
ETH_0_tx_desc,OBJECT,0x30002FA0,128.0,DSRAM 2 (comm)
VADC_Group0_Channel_Confi,OBJECT,0x20009F8C,128.0,DSRAM 1 (system)
vTaskStartScheduler,FUNC,0x0800304D,128.0,FLASH 1 (cached)
vPortFree,FUNC,0x0800436D,124.0,FLASH 1 (cached)
ulTCPWindowTxSack,FUNC,0x08008B25,124.0,FLASH 1 (cached)
UART_receive,FUNC,0x0800981D,120.0,FLASH 1 (cached)
xNetworkBuffersInitialise,FUNC,0x08009189,120.0,FLASH 1 (cached)
XMC_CCU8_SLICE_ConfigureE,FUNC,0x08001319,118.0,FLASH 1 (cached)
XMC_CCU4_SLICE_ConfigureE,FUNC,0x080011AD,118.0,FLASH 1 (cached)
prvCopyDataToQueue,FUNC,0x08002249,116.0,FLASH 1 (cached)
XMC_ETH_MAC_InitEx,FUNC,0x08001491,116.0,FLASH 1 (cached)
node_transfer.part.2,FUNC,0x0800AC45,114.0,FLASH 1 (cached)
prvIdleTask,FUNC,0x08002C3D,112.0,FLASH 1 (cached)
XMC_USIC_CH_Enable,FUNC,0x08001A71,112.0,FLASH 1 (cached)
XMC_VADC_GROUP_ChannelIni,FUNC,0x08001EA5,112.0,FLASH 1 (cached)
XMC_CCU4_Init,FUNC,0x08001099,112.0,FLASH 1 (cached)
vDNSCheckCallBack,FUNC,0x08004D11,108.0,FLASH 1 (cached)
prvCreateDHCPSocket,FUNC,0x08004991,104.0,FLASH 1 (cached)
xSendEventStructToIPTask,FUNC,0x08004FA1,104.0,FLASH 1 (cached)
xTimerGenericCommand,FUNC,0x08003B39,104.0,FLASH 1 (cached)
vARPAgeCache,FUNC,0x0800473D,104.0,FLASH 1 (cached)
SPI_Master_set_slave,FUNC,0x08009FC1,104.0,FLASH 1 (cached)
UART_set_baud,FUNC,0x0800974D,102.0,FLASH 1 (cached)
UART_transmit,FUNC,0x080097B5,102.0,FLASH 1 (cached)
PendSV_Handler,FUNC,0x08003F91,100.0,FLASH 1 (cached)
snprintf,FUNC,0x0800BA6D,100.0,FLASH 1 (cached)
sniprintf,FUNC,0x0800BA6D,100.0,FLASH 1 (cached)
XMC_UART_CH_Init,FUNC,0x0800196D,100.0,FLASH 1 (cached)
impure_data,OBJECT,0x2000A480,96.0,DSRAM 1 (system)
XMC_CCU4_EnableModule,FUNC,0x08001039,96.0,FLASH 1 (cached)
FreeRTOS_bind,FUNC,0x08005A69,96.0,FLASH 1 (cached)
CAN_ISR_Handler_Entry,FUNC,0x0800B021,96.0,FLASH 1 (cached)
ETH0_0_IRQHandler,FUNC,0x08009129,96.0,FLASH 1 (cached)
xTCPWindowTxHasData,FUNC,0x08008995,96.0,FLASH 1 (cached)
prvCheckForValidListAndQu,FUNC,0x08003A4D,92.0,FLASH 1 (cached)
vPortValidateInterruptPri,FUNC,0x0800417D,92.0,FLASH 1 (cached)
vARPGenerateRequestPacket,FUNC,0x080046BD,92.0,FLASH 1 (cached)
vTaskPlaceOnUnorderedEven,FUNC,0x08003551,88.0,FLASH 1 (cached)
CCU40_0_IRQHandler,FUNC,0x0800AB39,84.0,FLASH 1 (cached)
XMC_ETH_MAC_InitTxDescrip,FUNC,0x0800143D,84.0,FLASH 1 (cached)
XMC_ETH_MAC_InitRxDescrip,FUNC,0x080013E9,84.0,FLASH 1 (cached)
prvIPTimerCheck,FUNC,0x08004D7D,82.0,FLASH 1 (cached)
prvTCPAddTxData,FUNC,0x08006D89,82.0,FLASH 1 (cached)
prvTCPWindowTxHasSpace,FUNC,0x080083A1,82.0,FLASH 1 (cached)
prvInsertBlockIntoFreeLis,FUNC,0x080041D9,80.0,FLASH 1 (cached)
vTCPWindowInit,FUNC,0x08008621,78.0,FLASH 1 (cached)
prvSendDHCPRequest,FUNC,0x08004A99,76.0,FLASH 1 (cached)
_realloc_r,FUNC,0x0800C1DD,76.0,FLASH 1 (cached)
__libc_init_array,FUNC,0x0800B9E9,76.0,FLASH 1 (cached)
vQueueDelete,FUNC,0x08002B7D,76.0,FLASH 1 (cached)
XMC_SPI_CH_Init,FUNC,0x08001891,76.0,FLASH 1 (cached)
vEventGroupDelete,FUNC,0x08002161,76.0,FLASH 1 (cached)
xTimerCreateTimerTask,FUNC,0x08003AED,76.0,FLASH 1 (cached)
vReleaseNetworkBufferAndD,FUNC,0x0800920D,76.0,FLASH 1 (cached)
vTaskDelay,FUNC,0x08003449,76.0,FLASH 1 (cached)
CCU40_1_IRQHandler,FUNC,0x0800AB8D,76.0,FLASH 1 (cached)
CAN_module_init,FUNC,0x0800ACB9,74.0,FLASH 1 (cached)
xARPCache,OBJECT,0x200091D4,72.0,DSRAM 1 (system)
XMC_CCU8_Init,FUNC,0x08001269,72.0,FLASH 1 (cached)
pxTCPSocketLookup,FUNC,0x080067B5,72.0,FLASH 1 (cached)
xQueueGenericCreate,FUNC,0x0800240D,72.0,FLASH 1 (cached)
vQueueWaitForMessageRestr,FUNC,0x08002BF5,70.0,FLASH 1 (cached)
xEventGroupClearBits,FUNC,0x08002085,70.0,FLASH 1 (cached)
vTCPWindowDestroy,FUNC,0x080085D9,70.0,FLASH 1 (cached)
XMC_CAN_InitEx,FUNC,0x08000EE1,70.0,FLASH 1 (cached)
FreeRTOS_shutdown,FUNC,0x080066E1,70.0,FLASH 1 (cached)
prvInsertTimerInActiveLis,FUNC,0x08003AA9,68.0,FLASH 1 (cached)
vTCPWindowFree,FUNC,0x080083F5,68.0,FLASH 1 (cached)
xTCPCheckNewClient,FUNC,0x0800835D,68.0,FLASH 1 (cached)
vPortEnterCritical,FUNC,0x08003F21,68.0,FLASH 1 (cached)
CAN_callback_handler,FUNC,0x0800B94D,66.0,FLASH 1 (cached)
CCU4_module_init,FUNC,0x0800A655,66.0,FLASH 1 (cached)
CAN_node_transmit,FUNC,0x0800AFDD,66.0,FLASH 1 (cached)
prvTaskExitError,FUNC,0x08003E45,64.0,FLASH 1 (cached)
prvSendDHCPDiscover,FUNC,0x08004AE5,64.0,FLASH 1 (cached)
SPI_Master_set_mode,FUNC,0x0800A05D,64.0,FLASH 1 (cached)
VADC_isr_entry,FUNC,0x080094E1,64.0,FLASH 1 (cached)
xQueueRegistry,OBJECT,0x20009E50,64.0,DSRAM 1 (system)
_sbrk,FUNC,0x08001F15,64.0,FLASH 1 (cached)
CAN0_6_IRQHandler,FUNC,0x0800B151,64.0,FLASH 1 (cached)
vTaskPlaceOnEventListRest,FUNC,0x080035A9,64.0,FLASH 1 (cached)
CCU80_2_IRQHandler,FUNC,0x2000A525,64.0,DSRAM 1 (system)
vApplicationIPNetworkEven,FUNC,0x080090E5,64.0,FLASH 1 (cached)
CAN0_3_IRQHandler,FUNC,0x0800B0B1,64.0,FLASH 1 (cached)
CCU80_0_IRQHandler,FUNC,0x2000A4E5,64.0,DSRAM 1 (system)
vPortSetupTimerInterrupt,FUNC,0x0800402D,60.0,FLASH 1 (cached)
XMC_VADC_GLOBAL_StartupCa,FUNC,0x08001C69,60.0,FLASH 1 (cached)
XMC_ETH_MAC_ReadPhy,FUNC,0x080015F5,60.0,FLASH 1 (cached)
ITM_init,FUNC,0x080002F5,60.0,FLASH 1 (cached)
xQueueCreateCountingSemap,FUNC,0x08002455,60.0,FLASH 1 (cached)
XMC_ETH_MAC_WritePhy,FUNC,0x08001631,58.0,FLASH 1 (cached)
XMC_CCU8_SLICE_CompareIni,FUNC,0x080012C1,58.0,FLASH 1 (cached)
vIPNetworkUpCalls,FUNC,0x08005045,56.0,FLASH 1 (cached)
XMC_ETH_MAC_ReturnTxDescr,FUNC,0x08001711,56.0,FLASH 1 (cached)
vIPReloadDHCPTimer,FUNC,0x0800574D,56.0,FLASH 1 (cached)
XMC_CCU8_SLICE_SetInterru,FUNC,0x080013A1,56.0,FLASH 1 (cached)
XMC_CAN_MO_ReceiveData,FUNC,0x08000FE9,56.0,FLASH 1 (cached)
XMC_CCU4_SLICE_SetInterru,FUNC,0x08001231,56.0,FLASH 1 (cached)
CCU40_3_IRQHandler,FUNC,0x0800ABD9,56.0,FLASH 1 (cached)
vTaskSetTimeOutState,FUNC,0x080036FD,56.0,FLASH 1 (cached)
pxListFindListItemWithVal,FUNC,0x080057BD,54.0,FLASH 1 (cached)
memmove,FUNC,0x0800BA35,54.0,FLASH 1 (cached)
vSocketWakeUpUser,FUNC,0x080060BD,54.0,FLASH 1 (cached)
XMC_CAN_MO_UpdateData.par,FUNC,0x08000DC1,52.0,FLASH 1 (cached)
pcStateNames,OBJECT,0x0800C4B8,52.0,FLASH 1 (cached)
_GLOBAL__sub_I_logger,FUNC,0x0800B48D,52.0,FLASH 1 (cached)
vTaskPlaceOnEventList,FUNC,0x0800351D,52.0,FLASH 1 (cached)
XMC_VADC_GLOBAL_Init,FUNC,0x08001C35,52.0,FLASH 1 (cached)
VADC_get_group,FUNC,0x080094AD,52.0,FLASH 1 (cached)
